Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorkedGroup,AttrionLikelihood,RiskLevel
41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,Medium,Female,Junior Level,Sales Executive,Very High,Single,5993,Yes,Low,Low,8,0,Low,6,4,0,5,5+ companies,0.647332921,Strong
49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,High,Male,Junior Level,Research Scientist,Medium,Married,5130,No,Very High,Medium,10,3,High,10,7,1,7,0-1 Companies,0.001054385,Weak
37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,Very High,Male,Entry Level,Laboratory Technician,High,Single,2090,Yes,Medium,Low,7,3,High,0,0,0,0,5+ companies,0.367660778,Medium
33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Very High,Female,Entry Level,Research Scientist,High,Married,2909,Yes,High,Low,8,3,High,8,7,3,0,0-1 Companies,0.071200375,Weak
27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,Low,Male,Entry Level,Laboratory Technician,Medium,Married,3468,No,Very High,Medium,6,3,High,2,2,2,2,5+ companies,0.104367532,Weak
32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,Very High,Single,3068,No,High,Low,8,2,Medium,7,7,3,6,,0.077262739,Weak
59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,High,Female,Entry Level,Laboratory Technician,Low,Married,2670,Yes,Low,Very High,12,3,Medium,1,0,0,0,4-5 companies,0.599368733,Strong
30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,High,Divorced,2693,No,Medium,Medium,1,2,High,1,0,0,0,0-1 Companies,0.150282623,Weak
38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Very High,Male,Mid Level,Manufacturing Director,High,Single,9526,No,Medium,Low,10,2,High,9,7,1,8,,0.100451578,Weak
36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,High,Male,Junior Level,Healthcare Representative,High,Married,5237,No,Medium,High,17,3,Medium,7,7,7,7,5+ companies,0.006953875,Weak
35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Low,Male,Entry Level,Laboratory Technician,Medium,Married,2426,No,High,Medium,6,5,High,5,4,0,3,,0.119984956,Weak
29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,Very High,Female,Junior Level,Laboratory Technician,High,Single,4193,Yes,Very High,Low,10,3,High,9,5,0,8,,0.327721186,Medium
31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Low,Male,Entry Level,Research Scientist,High,Divorced,2911,No,Very High,Medium,5,1,Medium,5,2,4,3,0-1 Companies,0.200432832,Weak
34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,Medium,Male,Entry Level,Laboratory Technician,Very High,Divorced,2661,No,High,Medium,3,2,High,2,2,1,2,,0.028674864,Weak
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,High,Male,Entry Level,Laboratory Technician,High,Single,2028,Yes,Medium,Low,6,4,High,4,2,0,3,4-5 companies,0.885870898,Strong
29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,Medium,Female,Mid Level,Manufacturing Director,Low,Divorced,9980,No,High,Medium,10,1,High,10,9,8,8,0-1 Companies,0.016126534,Weak
32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,Low,Male,Entry Level,Research Scientist,Medium,Divorced,3298,Yes,Very High,High,7,5,Medium,6,2,0,5,,0.144662254,Weak
22,No,Non-Travel,1123,Research & Development,16,College,Medical,Very High,Male,Entry Level,Laboratory Technician,Very High,Divorced,2935,Yes,Medium,High,1,2,Medium,1,0,0,0,0-1 Companies,0.176622655,Weak
53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,Low,Female,Senior Level,Manager,Very High,Married,15427,No,High,Low,31,3,High,25,8,3,7,2-3 companies,0.002257546,Weak
38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,Very High,Male,Entry Level,Research Scientist,Very High,Single,3944,Yes,High,Low,6,3,High,3,2,1,2,4-5 companies,0.034442379,Weak
24,No,Non-Travel,673,Research & Development,11,College,Other,Low,Female,Junior Level,Manufacturing Director,High,Divorced,4011,No,Very High,Medium,5,5,Medium,4,2,1,3,,0.007033097,Weak
36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,High,Male,Entry Level,Sales Representative,Low,Single,3407,No,Medium,Low,10,4,High,5,3,0,3,5+ companies,0.257150606,Weak
34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,Low,Female,Mid Level,Research Director,Medium,Single,11994,No,High,Low,13,4,High,12,6,2,11,,0.000746079,Weak
21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,High,Male,Entry Level,Research Scientist,Very High,Single,1232,No,Very High,Low,0,6,High,0,0,0,0,0-1 Companies,0.023511572,Weak
34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,Medium,Male,Entry Level,Research Scientist,Low,Single,2960,No,High,Low,8,2,High,4,2,1,3,2-3 companies,0.050076484,Weak
53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,High,Female,Executive Level,Manager,High,Divorced,19094,No,Very High,Medium,26,3,Medium,14,13,4,8,4-5 companies,7.40E-06,Weak
32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Medium,Female,Entry Level,Research Scientist,Low,Single,3919,Yes,Medium,Low,10,5,High,10,2,6,7,0-1 Companies,0.578497952,Strong
42,No,Travel_Rarely,691,Sales,8,Master,Marketing,High,Male,Junior Level,Sales Executive,Medium,Married,6825,No,Very High,Medium,10,2,High,9,7,4,2,,0.005986549,Weak
44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,Low,Female,Mid Level,Healthcare Representative,Very High,Married,10248,No,Very High,Medium,24,4,High,22,6,5,17,2-3 companies,0.003861169,Weak
46,No,Travel_Rarely,705,Sales,2,Master,Marketing,Medium,Female,Executive Level,Manager,Low,Single,18947,No,Very High,Low,22,2,Medium,2,2,2,1,2-3 companies,0.001129922,Weak
